Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_fixture_link,0.020038,0.011873,0.36664,0,0,0,400,2.851,-0.025185,-0.21797,2.8785,-0.12915,0.18525,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/base_fixture_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/base_fixture_link.STL,,Suport Nou-1,Coordinate System Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_rs04_actuator,-0.024532,1.1724E-12,-9.6279E-13,0,0,0,0.51742,0.00087641,-1.1557E-17,-1.4766E-16,0.0005424,-3.5471E-06,0.00054116,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_pitch_rs04_actuator.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_pitch_rs04_actuator.STL,,RS04 (1).catpart-1,Coordinate System_1,,left_shoulder_pitch_rs04_actuator_fixture_link,fixed,0.32924,0.19509,1.45,-0.6108,0,0.53491,base_fixture_link,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_rs04_flange,-0.00188936806429085,-9.55715032979754E-05,2.58079796440214E-05,0,0,0,0.00758352122244523,2.36230802703344E-06,5.7637945082695E-21,-6.12775397779283E-21,1.19406420659587E-06,2.43521972335611E-21,1.19406420659588E-06,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_pitch_rs04_flange.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_pitch_rs04_flange.STL,,flansa umar RS04.catpart-1,Coordinate System_1,Axis1,left_shoulder_pitch_rs04_joint,revolute,0,0,0,0,0,0,left_shoulder_pitch_rs04_actuator,1,0,0,120,3,-3.14,3.14,,,,,3.14,-3.14,,0
m5x22_screws_left_shoulder_pitch,0.0063935043367972,-0.00479834508206478,0.00128572351764866,0,0,0,0.00474644340626601,2.66191925293528E-08,-1.25098390817692E-13,-1.97477629424858E-13,3.310539167949E-07,8.62570751952679E-14,3.31054672965684E-07,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/m5x22_screws_left_shoulder_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/m5x22_screws_left_shoulder_pitch.STL,,Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-3;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-4;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-5;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-2;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-7;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-1;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-6,Coordinate System_1,,m5x22_screws_left_shoulder_pitch_fixture_joint,fixed,0,0,0,0,0,0,left_shoulder_pitch_rs04_flange,0,0,0,,,,,,,,,,,,
left_shoulder_pitch,0.0682474669282063,0.0395514519562079,-5.23403518437604E-06,0,0,0,1.19772099934384,0.00347656174420471,-0.00164350112456368,-3.10207740074819E-07,0.00604621894196034,-1.29484314098345E-07,0.00615255051550607,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_pitch.STL,0.952941176470588,0.996078431372549,0.694117647058824,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_pitch.STL,,Umar.catpart-1,Coordinate System_1,,left_shoulder_pitch_fixture_joint,fixed,0,0,0,0,0,0,m5x22_screws_left_shoulder_pitch,0,0,0,,,,,,,,,,,,
m5x22_screws_left_shoulder_roll,0.11672415599943,0.0615935045052258,2.41514705503487E-05,0,0,0,0.00610257053905786,4.25641380807024E-07,1.38655677483118E-13,4.65295401766927E-13,3.42246799589702E-08,2.62800032759062E-13,4.25641102603541E-07,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/m5x22_screws_left_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/m5x22_screws_left_shoulder_roll.STL,,Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-6;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-5;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-4;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-3;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-2;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-1;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-9;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-8;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-7,Coordinate System_1,,m5x22_screws_left_shoulder_roll_fixture_joint,fixed,0,0,0,0,0,0,left_shoulder_pitch,0,0,0,,,,,,,,,,,,
left_shoulder_roll_rs04_flange,-3.94129173741931E-14,-0.00211063193644101,9.66495772303233E-11,0,0,0,0.00758352122244502,1.19406420659583E-06,9.52912065661088E-22,-5.42630481834786E-22,2.36230802703336E-06,-2.23655047491822E-15,1.19406420659583E-06,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_roll_rs04_flange.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_roll_rs04_flange.STL,,flansa umar RS04.catpart-2,Coordinate System_2,,left_shoulder_roll_rs04_flange_joint,fixed,0.11678,0.0487,-2.7056E-05,0,0,3.1416,m5x22_screws_left_shoulder_roll,0,0,0,,,,,,,,,,,,
left_shoulder_roll_rs04_actuator,7.54312757605957E-05,0.0205322216645345,2.70558601349613E-05,0,0,0,0.517423577893355,0.000542006962748033,-6.91243937089858E-15,-3.59408880621022E-06,0.000876413569064535,-6.41210581809812E-13,0.000541562181671228,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_roll_rs04_actuator.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_roll_rs04_actuator.STL,,RS04 (1).catpart-2,Coordinate System_2,Axis2,left_shoulder_roll_rs04_actuator_joint,revolute,0,0,0,0,0,0,left_shoulder_roll_rs04_flange,0,-1,0,120,3,-3.5,0.6,,,,,3.14,-3.14,,0
m4x25_left_shoulder_screws_roll,5.45041063022556E-05,0.0496289837028945,5.4065350843624E-05,0,0,0,0.00451430348886328,3.68173387240355E-07,-6.77491029669699E-15,6.50699246584675E-17,1.54230097659284E-08,1.8834147083779E-16,3.68173386339818E-07,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/m4x25_left_shoulder_screws_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/m4x25_left_shoulder_screws_roll.STL,,Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-5;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-6;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-7;Suruburi_brat_B.CATProduct-2/Copy (1) of E 1200_4x25_1.CATPart-1;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-8;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-9;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-1;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-2;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-3;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-4,Coordinate System_2,,m4x25_left_shoulder_screws_roll_fixture_joint,fixed,0,0,0,0,0,0,left_shoulder_roll_rs04_actuator,0,0,0,,,,,,,,,,,,
left_shoulder_roll,-0.00752228697600921,0.0497547010298511,-0.0556811673680776,0,0,0,0.997620677126329,0.00534467261113571,-8.46143420144779E-05,-0.00043021047830454,0.00591903779805697,-0.000640722348575363,0.00178281858845296,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_roll.STL,0.952941176470588,0.996078431372549,0.694117647058824,1,0,0,0,0,0,0,package://humanoid_arm_5dof_1.1/meshes/left_shoulder_roll.STL,,Brat.catpart-1,Coordinate System_2,,left_shoulde_roll_fixture_joint,fixed,0,0,0,0,0,0,m4x25_left_shoulder_screws_roll,0,0,0,,,,,,,,,,,,
