Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_fixture_link,-0.30933,-0.17963,-0.83636,0,0,0,400,1.5338,-0.024766,-0.16927,1.5621,-0.098299,0.18464,0,0,0,0,0,0,package://urdf brat stang 7/meshes/base_fixture_link.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/base_fixture_link.STL,,supBRAT-1,Coordinate System_1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_rs04_actuator,-0.0212144936357581,-0.0123197061496141,-1.4773737788687E-12,0,0,0,0.517423577893353,0.000791281929906339,0.000146596403770864,1.04334286421383E-06,0.000623975041966309,-1.79663299480508E-06,0.000544725741611065,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_pitch_rs04_actuator.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_pitch_rs04_actuator.STL,,RS04 (1).catpart-1,Coordinate System_1,,left_shoulder_pitch_rs04_actuator_fixture_link,fixed,0,0,0,0,0,0,base_fixture_link,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_rs04_flange,-0.00160023400776765,-0.00100669949731991,7.29307138803703E-05,0,0,0,0.00758352122244494,2.06768924459384E-06,5.07332578299122E-07,-2.28963593554678E-21,1.48868298903532E-06,-1.7205356741103E-22,1.19406420659582E-06,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_pitch_rs04_flange.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_pitch_rs04_flange.STL,,flansa umar RS04.catpart-1,Coordinate System_1,Axis1,left_shoulder_pitch_rs04_flange_joint,revolute,0,0,0,0,0,0,left_shoulder_pitch_rs04_actuator,0.864760392474123,0.502184690734396,0,120,3,-3.14,3.14,,,,,3.14,-3.14,,0
m5x22_screws_left_shoulder_pitch,0.00721932653725377,0.000299723766531201,0.00365316139893568,0,0,0,0.00474644340626585,1.03394680133485E-07,-1.32206926832093E-07,-2.76565465658249E-13,2.54278723556555E-07,2.77265718511042E-13,3.31054378599859E-07,0,0,0,0,0,0,package://urdf brat stang 7/meshes/m5x22_screws_left_shoulder_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/m5x22_screws_left_shoulder_pitch.STL,,Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-3;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-4;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-5;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-2;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-7;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-1;Suruburi_umar_B.CATProduct-1/E 1200_5x22_1.CATPart-6,Coordinate System_1,Axis_m5x22_screws_left_shoulder_pitch_fixture_joint,m5x22_screws_left_shoulder_pitch_fixture_joint,fixed,0,0,0,0,0,0,left_shoulder_pitch_rs04_flange,0,0,0,,,,,,,,,,,,
left_shoulder_pitch,0.0422379184792105,0.0631675726295917,-0.021162469711781,0,0,0,1.19772099744743,0.00533841544478267,-0.00181737265176679,0.000735956231723286,0.00421467724838482,0.000482895979159517,0.00612223849669078,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_pitch.STL,0.952941176470588,0.996078431372549,0.694117647058824,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_pitch.STL,,Umar.catpart-1,Coordinate System_1,Axis_left_shoulder_pitch_fixture_joint,left_shoulder_pitch_fixture_joint,fixed,0,0,0,0,0,0,m5x22_screws_left_shoulder_pitch,0,0,0,,,,,,,,,,,,
m5x22_screws_left_shoulder_roll,5.12752764351143E-05,-0.0128935045048073,5.12072378634487E-05,0,0,0,0.00610257053905764,4.25641380807002E-07,1.38655679975827E-13,-4.65295401727222E-13,3.42246799589694E-08,-2.63052839856934E-13,4.25641102603519E-07,0,0,0,0,0,0,package://urdf brat stang 7/meshes/m5x22_screws_left_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/m5x22_screws_left_shoulder_roll.STL,,Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-6;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-5;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-4;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-3;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-2;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-1;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-9;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-8;Suruburi_umar_A.CATProduct-1/E 1200_5x22_1.CATPart-7,Coordinate System_2,Axis_m5x22_screws_left_shoulder_roll_fixture_joint,m5x22_screws_left_shoulder_roll_fixture_joint,fixed,0.0803272260170873,0.0942116090989131,-0.0260749219194687,0.564448515429829,0,-2.61546937197944,left_shoulder_pitch,0,0,0,,,,,,,,,,,,
left_shoulder_roll_rs04_flange,-4.16333634234434E-14,-0.00211063193642413,6.38313846224037E-11,0,0,0,0.00758352122244508,1.19406420659584E-06,-1.12430388858208E-20,1.48230765769503E-21,2.36230802703339E-06,-1.48200182586151E-15,1.19406420659585E-06,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_roll_rs04_flange.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_roll_rs04_flange.STL,,flansa umar RS04.catpart-2,Coordinate System_2,Axis_left_shoulder_roll_rs04_flange_joint,left_shoulder_roll_rs04_flange_joint,fixed,0,0,0,0,0,0,m5x22_screws_left_shoulder_roll,0,0,0,,,,,,,,,,,,
left_shoulder_roll_rs04_actuator,7.54312758008968E-05,0.0205322216645349,2.70558418999922E-05,0,0,0,0.517423577893356,0.000542006962748033,-4.59109475697134E-15,-3.59408880621049E-06,0.000876413569064535,-4.24937943990442E-13,0.000541562181671229,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_roll_rs04_actuator.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_roll_rs04_actuator.STL,,RS04 (1).catpart-2,Coordinate System_2,Axis2,left_shoulder_roll_rs04_actuator_fixture_link,revolute,0,0,0,0,0,0,left_shoulder_roll_rs04_flange,0,-1,0,120,3,-3.5,0.6,,,,,3.14,-3.14,,0
m4x25_left_shoulder_screws_roll,5.45041063610974E-05,0.0496289837028789,5.40653513856348E-05,0,0,0,0.00451430348886334,3.68173387240364E-07,-6.77491733962292E-15,6.50698948799655E-17,1.54230097659285E-08,-3.94880986289279E-17,3.68173386339827E-07,0,0,0,0,0,0,package://urdf brat stang 7/meshes/m4x25_left_shoulder_screws_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/m4x25_left_shoulder_screws_roll.STL,,Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-5;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-6;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-7;Suruburi_brat_B.CATProduct-2/Copy (1) of E 1200_4x25_1.CATPart-1;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-8;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-9;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-1;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-2;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-3;Suruburi_brat_B.CATProduct-2/Gathered E 1200_4x25_1 on CircPattern.4.CATProduct-1/E 1200_4x25_1.CATPart-4,Coordinate System_2,Axis_m4x25_left_shoulder_screws_roll_fixture_joint,m4x25_left_shoulder_screws_roll_fixture_joint,fixed,0,0,0,0,0,0,left_shoulder_roll_rs04_actuator,0,0,0,,,,,,,,,,,,
left_shoulder_roll,-0.00752228686656664,0.0497547008472168,-0.055681167948436,0,0,0,0.997620688400226,0.00534467265132067,-8.46143392882667E-05,-0.000430210471278774,0.00591903784346482,-0.000640722357597432,0.00178281861079861,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_roll.STL,0.952941176470588,0.996078431372549,0.694117647058824,1,0,0,0,0,0,0,package://urdf brat stang 7/meshes/left_shoulder_roll.STL,,Brat.catpart-1,Coordinate System_2,Axis_left_shoulde_roll_fixture_joint,left_shoulde_roll_fixture_joint,fixed,0,0,0,0,0,0,m4x25_left_shoulder_screws_roll,0,0,0,,,,,,,,,,,,
